r_name,b_name,event,date,month,year,gender,city,state,country,referee,winner,finish,finishdetails,finishround,titlebout,weightclass,numberofrounds,emptyarena,heightdif,agedif,reachdif,r_odds,r_age,r_age_range,r_stance,b_odds,b_age,b_age_range,b_stance,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds),r_undefeated,b_undefeated,r_wc_ranked,r_pfp_ranked,b_wc_ranked,b_pfp_ranked,r_champion,b_champion
Alessio Sakara,James Irvin,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Josh Rosenthal,Red,KO/TKO,,1,False,Middleweight,3,False,-5.08,-3,-7.62,-120,28,26-30,Orthodox,100,31,31-35,Orthodox,0.251953125,50.171875,16.48046875,0.095703125,0.048828125,0.0,19.74609375,0.2890625,6.3828125,2.2421875,0.125,0.0,0.0625,1.953125,False,False,False,False,False,False,False,False
Brandon Vera,Jon Jones,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Herb Dean,Blue,KO/TKO,Elbow,1,False,Light Heavyweight,3,False,-2.54,10,-20.32,215,32,31-35,Orthodox,-235,22,21-25,Orthodox,0.8154296875,77.1572265625,37.9833984375,1.4462890625,0.8828125,0.001953125,130.990234375,0.125,86.25,39.125,2.375,1.625,0.25,113.625,False,False,False,False,False,False,False,False
Brendan Schaub,Chase Gormley,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Adam Martinez,Red,KO/TKO,Punches,1,False,Heavyweight,3,False,2.54,0,2.12,-260,27,26-30,Orthodox,220,27,26-30,Orthodox,0.0,48.0,12.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,1.0,1.0,1.0,89.0,False,False,False,False,False,False,False,False
Cheick Kongo,Paul Buentello,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Herb Dean,Red,KO/TKO,Elbows,3,False,Heavyweight,3,False,5.08,-2,12.7,-345,34,31-35,Orthodox,315,36,36-40,Orthodox,0.0947265625,27.126953125,16.2392578125,1.3642578125,0.7119140625,0.0078125,85.712890625,0.625,68.4375,33.5,0.5,0.25,0.3125,88.4375,False,False,False,False,False,False,False,False
Clay Guida,Shannon Gugerty,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Herb Dean,Red,SUB,Arm Triangle,2,False,Lightweight,3,False,-7.62,0,-2.54,-420,28,26-30,Orthodox,335,28,26-30,Orthodox,0.03125,81.615234375,24.240234375,6.0546875,1.779296875,0.15234375,253.279296875,0.0,29.75,9.625,3.0,1.125,0.875,114.875,False,False,False,False,False,False,False,False
Duane Ludwig,Darren Elkins,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Tim Mills,Blue,KO/TKO,,1,False,Lightweight,3,False,0.0,6,-2.54,-155,31,31-35,Orthodox,135,25,21-25,Orthodox,0.25,28.0,10.75,0.0,0.0,0.0,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False
Eliot Marshall,Vladimir Matyushenko,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Adam Martinez,Blue,S-DEC,,3,False,Light Heavyweight,3,False,5.08,-10,7.62,145,29,26-30,Orthodox,-165,39,36-40,Orthodox,0.0,103.25,27.5,0.25,0.25,0.5,28.25,0.0,66.40625,28.875,6.84375,2.875,0.5,297.125,True,False,False,False,False,False,False,False
Eric Schafer,Jason Brilz,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Tom Johnson,Blue,U-DEC,,3,False,Light Heavyweight,3,False,10.16,-2,10.16,140,32,31-35,Orthodox,-160,34,31-35,Orthodox,0.0,71.8125,22.125,1.28125,0.28125,0.9375,87.1875,0.0,88.75,30.5,10.25,1.25,0.5,341.25,False,False,False,False,False,False,False,False
John Howard,Daniel Roberts,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Tom Johnson,Red,KO/TKO,Punch,1,False,Welterweight,3,False,-7.62,-2,-7.62,-210,27,26-30,Orthodox,175,29,26-30,Southpaw,0.5,30.5,17.0,5.0,4.0,0.75,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False
Junior Dos Santos,Gabriel Gonzaga,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Josh Rosenthal,Red,KO/TKO,Punches,1,False,Heavyweight,3,False,5.08,-4,2.54,-250,26,26-30,Orthodox,230,30,26-30,Orthodox,0.875,59.375,26.875,0.0,0.0,0.0,16.625,0.63671875,20.31640625,15.130859375,0.490234375,0.427734375,0.09375,77.81640625,True,False,False,False,False,False,False,False
