r_fighter,b_fighter,date,location,winner,titlebout,weightclass,b_age,b_stance,b_heightcms,b_reachcms,b_weightlbs,b_currentlosestreak,b_currentwinstreak,b_draws,b_longestwinstreak,b_wins,b_losses,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,b_totalroundsfought,b_totaltitlebouts,b_avgsigstrlanded,b_avgsigstrpct,b_avgsubatt,b_avgtdlanded,b_avgtdpct,r_age,r_stance,r_heightcms,r_reachcms,r_weightlbs,r_currentlosestreak,r_currentwinstreak,r_draws,r_longestwinstreak,r_wins,r_losses,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,r_totalroundsfought,r_totaltitlebouts,r_avgsigstrlanded,r_avgsigstrpct,r_avgsubatt,r_avgtdlanded,r_avgtdpct
Alessio Sakara,James Irvin,2010-03-21,"Broomfield, Colorado, USA",Red,False,Middleweight,31.0,Orthodox,187.96,190.5,205.0,1.0,0.0,0.0,2.0,4.0,4.0,3.0,0.0,0.0,10.0,0.0,5.25,0.56,0.12,0.0,0.0,28.0,Orthodox,182.88,182.88,185.0,0.0,2.0,0.0,2.0,5.0,5.0,3.0,0.0,0.0,15.0,0.0,20.8,0.46,0.0,1.0,0.15
Brandon Vera,Jon Jones,2010-03-21,"Broomfield, Colorado, USA",Blue,False,Light Heavyweight,22.0,Orthodox,193.04,213.36,205.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,9.0,0.0,39.0,0.48,0.25,2.5,0.52,32.0,Orthodox,190.5,193.04,230.0,1.0,0.0,0.0,4.0,7.0,4.0,4.0,1.0,0.0,23.0,0.0,30.73,0.57,0.09,0.55,0.36
Brendan Schaub,Chase Gormley,2010-03-21,"Broomfield, Colorado, USA",Red,False,Heavyweight,27.0,Orthodox,190.5,196.0,265.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.34,1.0,1.0,1.0,27.0,Orthodox,193.04,198.12,245.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,12.0,0.25,0.0,0.0,0.0
Cheick Kongo,Paul Buentello,2010-03-21,"Broomfield, Colorado, USA",Red,False,Heavyweight,36.0,Orthodox,187.96,195.58,245.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,8.0,1.0,25.8,0.47,0.4,0.2,0.1,34.0,Orthodox,193.04,208.28,240.0,2.0,0.0,0.0,3.0,7.0,4.0,4.0,0.0,1.0,22.0,0.0,32.91,0.6,0.27,1.18,0.48
Clay Guida,Shannon Gugerty,2010-03-21,"Broomfield, Colorado, USA",Red,False,Lightweight,28.0,Orthodox,177.8,180.34,155.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,7.0,0.0,10.75,0.33,1.25,1.25,0.66,28.0,Orthodox,170.18,177.8,155.0,2.0,0.0,0.0,3.0,5.0,5.0,1.0,1.0,0.0,26.0,0.0,33.1,0.39,0.6,3.4,0.38
Duane Ludwig,Darren Elkins,2010-03-21,"Broomfield, Colorado, USA",Blue,False,Lightweight,25.0,Orthodox,177.8,180.34,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31.0,Orthodox,177.8,177.8,170.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,13.67,0.58,0.0,0.0,0.0
Eliot Marshall,Vladimir Matyushenko,2010-03-21,"Broomfield, Colorado, USA",Blue,False,Light Heavyweight,39.0,Orthodox,182.88,187.96,205.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,16.0,1.0,22.17,0.51,0.17,2.5,0.48,29.0,Orthodox,187.96,195.58,205.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,7.0,0.0,27.0,0.34,0.67,0.33,0.33
Eric Schafer,Jason Brilz,2010-03-21,"Broomfield, Colorado, USA",Blue,False,Light Heavyweight,34.0,Orthodox,180.34,180.34,205.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,8.0,0.0,31.67,0.46,0.67,1.67,0.5,32.0,Orthodox,190.5,190.5,185.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,0.0,9.0,0.0,15.67,0.59,1.33,0.83,0.14
John Howard,Daniel Roberts,2010-03-21,"Broomfield, Colorado, USA",Red,False,Welterweight,29.0,Southpaw,177.8,187.96,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27.0,Orthodox,170.18,180.34,170.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,9.0,0.0,18.0,0.55,1.0,4.67,0.79
Junior Dos Santos,Gabriel Gonzaga,2010-03-21,"Broomfield, Colorado, USA",Red,False,Heavyweight,30.0,Orthodox,187.96,193.04,242.0,0.0,1.0,0.0,4.0,7.0,3.0,5.0,2.0,0.0,16.0,1.0,13.7,0.55,0.7,1.2,0.57,26.0,Orthodox,193.04,195.58,238.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,6.0,0.0,25.75,0.54,0.0,0.0,0.0
