Name,Gender,Date,CurrentLoseStreak,CurrentWinStreak,Draws,AvgSigStrLanded,AvgSigStrPct,AvgSubAtt,AvgTDLanded,AvgTDPct,LongestWinStreak,Losses,TotalRoundsFought,TotalTitleBouts,WinsByDecisionMajority,WinsByDecisionSplit,WinsByDecisionUnanimous,WinsByKO,WinsBySubmission,WinsByTKODoctorStoppage,Wins,Stance,HeightCms,ReachCms,WeightLbs,Age,MatchWCRank,WFlyweightRank,WFeatherweightRank,WStrawweightRank,WBantamweightRank,HeavyweightRank,LightHeavyweightRank,MiddleweightRank,WelterweightRank,LightweightRank,FeatherweightRank,BantamweightRank,FlyweightRank,PFPRank,WinsByDecision,WinsByStoppage
 Jun Yong Park,MALE,2019-12-21,1,0,0,,0.522,0.0,0.5,0.25,0,1,2,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,185,28,,,,,,,,,,,,,,,0,0
AJ Cunningham,MALE,2024-03-02,1,0,0,7.66,0.29,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,145,29,,,,,,,,,,,,,,,0,0
AJ Dobson,MALE,2022-02-12,0,1,0,4.29,0.46,0.3,1.67,0.75,1,0,1,0,0,0,0,0,1,0,1,Orthodox,185.42,193.04,185,30,,,,,,,,,,,,,,,0,1
AJ Dobson,MALE,2022-10-22,1,0,0,4.29,0.46,0.3,1.67,0.75,1,1,4,0,0,0,0,0,1,0,1,Orthodox,185.42,193.04,185,30,,,,,,,,,,,,,,,0,1
AJ Dobson,MALE,2023-08-12,2,0,0,4.29,0.46,0.3,1.67,0.75,1,2,7,0,0,0,0,0,1,0,1,Orthodox,185.42,193.04,185,31,,,,,,,,,,,,,,,0,1
AJ Dobson,MALE,2024-03-23,0,1,0,4.29,0.46,0.3,1.67,0.75,1,2,10,0,0,0,1,0,1,0,2,Orthodox,185.42,193.04,185,32,,,,,,,,,,,,,,,1,1
AJ Fletcher,MALE,2022-03-12,0,1,0,3.36,0.49,0.9,1.54,0.35,1,0,1,0,0,0,0,1,0,0,1,Switch,177.8,170.18,170,25,,,,,,,,,,,,,,,0,1
AJ Fletcher,MALE,2022-08-20,1,0,0,3.36,0.49,0.9,1.54,0.35,1,1,4,0,0,0,0,1,0,0,1,Switch,177.8,170.18,170,25,,,,,,,,,,,,,,,0,1
AJ Fletcher,MALE,2023-02-18,2,0,0,3.36,0.49,0.9,1.54,0.35,1,2,7,0,0,0,0,1,0,0,1,Switch,177.8,170.18,170,26,,,,,,,,,,,,,,,0,1
AJ Fletcher,MALE,2023-09-23,0,1,0,3.36,0.49,0.9,1.54,0.35,1,2,9,0,0,0,0,1,1,0,2,Switch,177.8,170.18,170,26,,,,,,,,,,,,,,,0,2
Aalon Cruz,MALE,2020-02-29,0,0,0,9.04,0.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,198.12,145,30,,,,,,,,,,,,,,,0,0
Aalon Cruz,MALE,2021-03-06,1,0,0,7.58,0.39,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Switch,182.88,198.12,145,31,,,,,,,,,,,,,,,0,1
Aaron Phillips,MALE,2014-05-24,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,175.26,177.8,135,24,,,,,,,,,,,,,,,0,0
Aaron Phillips,MALE,2014-08-23,1,0,0,18.0,0.45,1.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,175.26,177.8,135,25,,,,,,,,,,,,,,,0,0
Aaron Phillips,MALE,2020-07-15,2,0,0,1.87,0.59,0.5,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,Southpaw,175.26,177.8,135,30,,,,,,,,,,,,,,,0,0
Aaron Phillips,MALE,2023-04-15,3,0,0,1.51,0.53,0.6,0.86,0.5,0,3,8,0,0,0,0,0,0,0,0,Southpaw,175.26,180.34,135,33,,,,,,,,,,,,,,,0,0
Aaron Riley,MALE,2010-05-29,1,0,0,38.5,0.382,0.1667,0.8333,0.317,1,4,13,0,0,0,2,0,0,0,2,Southpaw,172.72,175.26,155,29,,,,,,,,,,,,,,,2,0
Aaron Riley,MALE,2011-09-24,0,1,0,39.5714,0.39,0.1429,1.1429,0.324,1,4,16,0,0,0,3,0,0,0,3,Southpaw,172.72,175.26,155,30,,,,,,,,,,,,,,,3,0
Aaron Riley,MALE,2013-07-27,1,0,0,36.0,0.369,0.125,1.0,0.284,1,5,17,0,0,0,3,0,0,0,3,Southpaw,172.72,175.26,155,32,,,,,,,,,,,,,,,3,0
Aaron Rosa,MALE,2011-06-11,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,198.12,205,28,,,,,,,,,,,,,,,0,0
Aaron Rosa,MALE,2011-11-12,1,0,0,73.0,0.4,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,193.04,198.12,205,28,,,,,,,,,,,,,,,0,0
Aaron Rosa,MALE,2012-03-02,0,1,0,66.0,0.495,0.0,0.0,0.0,1,1,6,0,1,0,0,0,0,0,1,Orthodox,193.04,198.12,205,28,,,,,,,,,,,,,,,1,0
Aaron Simpson,MALE,2010-06-19,0,3,0,25.6667,0.473,0.0,2.0,0.777,3,0,6,0,0,1,0,2,0,0,3,Orthodox,182.88,185.42,170,35,,,,,,,,,,,,,,,1,2
Aaron Simpson,MALE,2010-11-20,1,0,0,30.0,0.493,0.25,2.0,0.633,3,1,8,0,0,1,0,2,0,0,3,Orthodox,182.88,185.42,170,36,,,,,,,,,,,,,,,1,2
Aaron Simpson,MALE,2011-03-26,2,0,0,32.6,0.466,0.2,2.6,0.596,3,2,11,0,0,1,0,2,0,0,3,Orthodox,182.88,185.42,170,36,,,,,,,,,,,,,,,1,2
Aaron Simpson,MALE,2011-07-02,0,1,0,37.0,0.518,0.1667,3.8333,0.56,3,2,14,0,0,1,1,2,0,0,4,Orthodox,182.88,185.42,170,36,,,,,,,,,,,,,,,2,2
Aaron Simpson,MALE,2011-10-08,0,2,0,37.8571,0.537,0.4286,3.5714,0.499,3,2,17,0,0,1,2,2,0,0,5,Orthodox,182.88,185.42,170,37,,,,,,,,,,,,,,,3,2
Aaron Simpson,MALE,2012-02-15,0,3,0,40.375,0.521,0.375,3.125,0.436,3,2,20,0,0,1,3,2,0,0,6,Orthodox,182.88,185.42,170,37,,,,,,,,,,,,,,,4,2
Aaron Simpson,MALE,2012-07-11,1,0,0,42.0,0.536,0.3333,2.7778,0.388,3,3,23,0,0,1,3,2,0,0,6,Orthodox,182.88,185.42,170,37,,,,,,,,,,,,,,,4,2
Aaron Simpson,MALE,2012-10-05,0,1,0,42.6,0.55,0.3,3.1,0.391,3,3,26,0,0,1,4,2,0,0,7,Orthodox,182.88,185.42,170,38,,,,,,,,,,,,,,,5,2
Aaron Wilkinson,MALE,2010-12-04,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,183.0,155,23,,,,,,,,,,,,,,,0,0
Abdul Razak Alhassan,MALE,2016-11-19,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,170,31,,,,,,,,,,,,,,,0,0
Abdul Razak Alhassan,MALE,2017-05-28,0,1,0,12.0,0.54,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,177.8,185.42,170,31,,,,,,,,,,,,,,,0,1
Abdul Razak Alhassan,MALE,2017-12-02,1,0,0,27.5,0.485,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,177.8,185.42,170,32,,,,,,,,,,,,,,,0,1
Abdul Razak Alhassan,MALE,2018-01-20,0,1,0,27.3333,0.47,0.0,0.3333,0.11,1,1,5,0,0,0,0,2,0,0,2,Orthodox,177.8,185.42,170,32,,,,,,,,,,,,,,,0,2
Abdul Razak Alhassan,MALE,2018-09-08,0,2,0,23.75,0.45,0.0,0.25,0.083,2,1,6,0,0,0,0,3,0,0,3,Orthodox,177.8,185.42,170,33,,,,,,,,,,,,,,,0,3
Abdul Razak Alhassan,MALE,2020-07-15,0,3,0,4.59,0.46,0.0,0.57,0.33,3,1,7,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,170,34,,,,,,,,,,,,,,,0,4
Abdul Razak Alhassan,MALE,2020-11-14,1,0,0,4.54,0.48,0.0,0.73,0.28,3,2,10,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,170,35,,,,,,,,,,,,,,,0,4
Abdul Razak Alhassan,MALE,2021-04-17,2,0,0,3.71,0.47,0.0,0.53,0.28,3,3,11,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,170,35,,,,,,,,,,,,,,,0,4
Abdul Razak Alhassan,MALE,2021-08-28,3,0,0,3.71,0.48,0.0,0.53,0.28,3,4,14,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,185,36,,,,,,,,,,,,,,,0,4
Abdul Razak Alhassan,MALE,2022-02-19,0,1,0,3.62,0.49,0.2,0.88,0.38,3,4,15,0,0,0,0,5,0,0,5,Orthodox,177.8,185.42,185,36,,,,,,,,,,,,,,,0,5
Abdul Razak Alhassan,MALE,2023-01-14,1,0,0,3.62,0.49,0.2,0.88,0.38,3,5,18,0,0,0,0,5,0,0,5,Orthodox,177.8,185.42,185,37,,,,,,,,,,,,,,,0,5
