RedFighter,BlueFighter,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Alexandre Pantoja,Kai Asakura,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,True,Flyweight,MALE,5,0,-6,-6,-12,-3,-42,-3,-2,-4,7.62,5.08,-3,-4.41,-0.8,-2.61,,Red,SUB,Rear Naked Choke,2.0,2:05,425.0,-250.0,215.0,40.0,215.0,300.0,800.0,150.0,2500.0,400.0,350.0
Shavkat Rakhmonov,Ian Machado Garry,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,2,2,2,0,9,0,2,-5,5.08,-7.62,-3,1.38,-1.5,-0.72,,Red,U-DEC,,5.0,5:00,1500.0,-210.0,295.0,47.619,295.0,250.0,650.0,180.0,3000.0,240.0,700.0
Ciryl Gane,Alexander Volkov,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,0,3,-3,3,2,11,-3,2,-1,7.62,-2.54,2,-0.36,-0.3,-0.13,,Red,S-DEC,,3.0,5:00,900.0,-380.0,300.0,26.3158,300.0,-160.0,450.0,1100.0,3000.0,350.0,1100.0
Bryce Mitchell,Kron Gracie,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,1,0,-5,-6,0,-15,0,0,0,-2.54,0.0,6,1.44,-1.1,-2.98,,Red,KO/TKO,Elbows,3.0,0:39,639.0,-950.0,625.0,10.5263,625.0,-200.0,1100.0,380.0,1400.0,500.0,4000.0
Nate Landwehr,Dooho Choi,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,0,0,-1,0,-2,0,3,-2,2.54,-5.08,-3,-1.84,-0.2,-0.25,,neither,KO/TKO,Elbows,3.0,3:21,801.0,-130.0,110.0,76.9231,110.0,275.0,550.0,500.0,700.0,300.0,250.0
Dominick Reyes,Anthony Smith,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,3,1,-1,-3,8,8,42,-1,3,5,0.0,-2.54,2,-1.63,0.3,0.11,,Red,KO/TKO,Punches,2.0,4:46,586.0,-380.0,300.0,26.3158,300.0,250.0,750.0,1200.0,1200.0,-125.0,800.0
Vicente Luque,Themba Gorimbo,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,-1,4,-2,-11,-5,-35,0,-7,-5,5.08,5.08,0,-1.96,0.0,3.89,,Red,SUB,Anaconda Choke,1.0,0:52,52.0,-650.0,-162.0,15.3846,61.7284,450.0,130.0,450.0,900.0,600.0,450.0
Movsar Evloev,Aljamain Sterling,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,-7,1,8,4,33,5,2,4,0.0,-2.54,5,0.18,0.5,-2.44,,Red,U-DEC,,3.0,5:00,900.0,-238.0,195.0,42.0168,195.0,-135.0,275.0,1600.0,1100.0,550.0,1600.0
Randy Brown,Bryan Battle,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,0,-1,-7,-4,-27,0,0,-1,-5.08,-2.54,-4,1.06,-0.1,0.24,,neither,S-DEC,,3.0,5:00,900.0,150.0,-180.0,150.0,55.5556,400.0,185.0,1000.0,550.0,450.0,300.0
Chris Weidman,Eryk Anders,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,MALE,3,0,0,-7,-4,1,-2,-5,0,-3,-2.54,-7.62,-3,0.23,-0.7,-1.65,,neither,KO/TKO,Punches,2.0,4:51,591.0,-112.0,-108.0,89.2857,92.5926,150.0,200.0,1000.0,1800.0,650.0,380.0
